Track_Title,Key_Signature
Bassoon Concerto in F Major ,F Major
The Bad-Tempered Electronic Keyboard: Prelude No. 11 in B♭ major ,B♭ major
"Violin Sonata No. 21 in E Minor, K. 304: II. Tempo di menuetto ",E Minor
"String Quartet in E Major, Op. 54 No. 3, Hob. III:59: IV. Finale. Presto ",E Major
"Violin Sonata in E Minor, Op. 1 No. 12 ",E Minor
Flute Sonata No. 3 in C Minor: II. Allegro ,C Minor
"Clarinet Sonata in B♭ major, Op. 107: II. Vivace ",B♭ major
"Duo for Violin & Viola in G Major, K. 423: I. Allegro ",G Major
"Keyboard Sonata in G Major, Wq. 65 No. 48: II. Adagio e sostenuto ",G Major
"Violin Sonata No. 1 in F Minor, Op. 80: I. Andante assai ",F Minor
"Sonata da camera in E-Flat Major, Op. 6 No. 35: II. Allegro ma non troppo ",E-Flat Major
"Keyboard Sonata in D minor, Kk. 1 ",D minor
"Mass in C major, K. 317 ""Krönungsmesse"": Agnus Dei ",C major
"Klavierstuck in B flat Major, K. 5b ",B flat Major
"Symphony No. 3 in A minor, Op. 25 ",A minor
"String Quartet No. 2 in C-Sharp Minor, Op. 36: I. Ziemlich ruhig. Moderato ",C-Sharp Minor
"Sonata for Solo Violin in D Major, Op. 115 ",D Major
"Toccata in D Minor, BWV 913: II. Fuga. Presto ",D Minor
"Toccata & Fugue in D Minor, BWV 565: Fugue ",D Minor
"Keyboard Sonata in E flat Major, Hob. XVI:25 ",E flat Major
"Keyboard Sonata in C-Sharp Minor, Hob. XVI:36: II. Scherzando. Allegro con brio ",C-Sharp Minor
"11 Variations on an Original Theme in D Major, Op. 21 No. 1: Var. 2, Più moto ",D Major
"Piano Trio in C Major, Hob. XV:C1: I. Allegro moderato ",C Major
"Sonata concertata in A Major, Op. 61, MS 2 ",A Major
"Étude in F Minor, Op. 25 No. 2 ""Bees"" ",F Minor
"Symphony No. 7 in C sharp Minor, Op. 131: I. Moderato ",C sharp Minor
"Violin Concerto in E Major, BWV 1042 ",E Major
"Dettingen Te Deum in D Major, HWV 283: All the Earth Doth Worship Thee ",D Major
Harpsichord Suite No. 5 in E Minor: III. Sarabande ,E Minor
"Concerto in F Major, Op. 3 No. 5 ",F Major
"Pièces de clavecin, Suite in E Minor, RCT 2: III. Gigue en rondeau I ",E Minor
"String Trio in B-Flat Major, D. 581 ",B-Flat Major
"Piano Pieces, Series 2: No. 6, Prelude in D minor ",D minor
"Chamber Symphony in c minor, Op. 110a ",c minor
"Organ Fantasia in F Minor, Op. 20 ",F Minor
"Keyboard Sonatina in D Major, Wq. 64 No. 5, H. 11 ",D Major
Sinfonia concertante in D Major ,D Major
"String Quartet in G Major, Op. 23 ",G Major
"String Quartet No. 2 in F Major, Op. 22, TH 122: I. Adagio - Moderato assai ",F Major
Viola Concerto in A Major ,A Major
"Symphony No. 3 in A Minor, Op. 56, MWV N18 ""Scottish"": III. Adagio ",A Minor
"Pièces de viole, Book 1, Suite in G Major for 2 Viols & Continuo: V. Gigue ",G Major
"String Quartet No. 14 in D Minor, D. 810 ""Death and the Maiden"": IV. Presto ",D Minor
"Concerto for Organ, Strings & Timpani in G Minor, FP 93: I. Andante ",G Minor
"Piano Quartet No. 1 in G Minor, Op. 25: IV. Rondo alla zingarese ",G Minor
Flute Concerto in D Major: II. Largo ,D Major
"40 Easy Études, Op. 70: No. 14 in D Major ",D Major
"Symphony in G Minor, Op. 6 No. 6, W. C12: III. Allegro molto ",G Minor
"Piano Trio No. 2 in B Minor, Op. 76: III. Andante mosso, allegretto ",B Minor
"Violin Sonata No. 12 in G Major, Op. 4 No. 2, K. 27 ",G Major
"3-Part Inventions: No. 9 in F minor, BWV 795 ",F minor
"Symphony No. 2 in B-Flat Major, D. 125: I. Largo - Allegro vivace ",B-Flat Major
"Piano Concerto No. 4 in G minor, Op. 40 ",G minor
Keyboard Sonata No. 76 in D Major ,D Major
Ouverture No. 6 in G Minor ,G Minor
Harp Sonata in C Minor ,C Minor
"Serenade No. 11 in E♭ major, K. 375: III. Adagio ",E♭ major
"12 Album Leaves, Op. 51: No. 1 in E Major. Con moto ",E Major
"6 Walzer, Op. 22: No. 6, Allegro vivace in E Major ",E Major
"Cello Sonata in E minor, Op. 14 No. 5, RV 40: IV. Allegro ",E minor
"Concerto grosso in B♭ major, Op. 6 No. 5: I. Adagio - Allegro ",B♭ major
"Fantasia in D Minor, K. 397 ",D Minor
"5 Préludes, W 419: No. 4 in E minor ",E minor
"6 Little Préludes: Prelude No. 3 in D Minor, BWV 935 ",D Minor
"11 Variations on an Original Theme in D Major, Op. 21 No. 1: Var. 5, Tempo di tema ",D Major
"Quartet in F Major, Op. 4 No. 4, III. Andantino ",F Major
"Guitar Sonata No. 27 in A Major, MS 84 ",A Major
"Piano Concerto in A Minor, Op. 7: II. Romanze. Andanta non troppo con grazia ",A Minor
"Symphony No. 1 in E Minor, Op. 39: IV. Finale, Quasi una Fantasia. Andante ",E Minor
"Slavonic Dances, Series 2, Op. 72, B. 145: No. 1 in B Major. Odzemek ",B Major
Sinfonia No. 16 in D Major: III. Allegro ,D Major
"19 Hungarian Rhapsodies, S. 244: No. 19 in D minor ",D minor
"10 Préludes, Op. 23: No. 7 in C Minor ",C Minor
Flute Sonata in D Major: II. Andante alla polacca ,D Major
"Symphony in G Minor, WoO 29 ""Zwickauer"" ",G Minor
Serenata veneziana in A major ,A major
"Sanctus in D Major, BWV 238 ",D Major
"Piano Sonata in B Minor, S. 178: Ib. Andante sostenuto ",B Minor
"Symphony No. 4 in F minor, Op. 36, TH 27: Allegro con fuoco ",F minor
"Sinfonia in G Major, Wq. 122 No. 1, H. 45: II. Andante ",G Major
Pièces in A Major: II. Gavotte ,A Major
"String Quartet in C Major, Op. 54 No. 2, Hob. III:57: III. Menuetto. Allegretto ",C Major
"Piano Sonata No. 17 in D Major, Op. 53, D. 850 ""Gasteiner Sonate"": III. Scherzo. Allegro vivace ",D Major
Harpsichord Suite No. 3 in A Minor: I. Prelude ,A Minor
"Keyboard Sonata in E-Flat Major, Wq. 49 No. 5 ""Wurttemberg No. 5"" ",E-Flat Major
"Symphony No. 101 in D Major, Hob. I:101 ""Clock"": I. Adagio ",D Major
"Symphony No. 29 in A Major, K. 201: III. Menuetto. Allegretto ",A Major
"The Well-Tempered Clavier, Book 2: Prelude No. 1 in C Major, BWV 870 ",C Major
Trio Sonata a 3 No. 1 in E Minor: IV. Gigue ,E Minor
"Keyboard Sonata in C Major, Kk. 49 ",C Major
String Quartet in G Minor: IV. Finale. Allegro molto ,G Minor
"Sonata in F Major, Weiss SW1: VI. Menuet ",F Major
"Piano Sonata No. 17 in D Major, Op. 53, D. 850 ""Gasteiner Sonate"": I. Allegro vivace ",D Major
"Piano Trio in G Major, Op. 82 No. 2, Hob. XV:25 ""Gypsy"": II. Poco adagio cantable ",G Major
"Symphony in D Major, VB 143: I. Allegro ",D Major
"Flute Sonata in G Major, Op. 1 No. 5, HWV 363b: V. Menuetto ",G Major
"Brandenburg Concerto No. 3 in G Major, BWV 1048: III. Allegro ",G Major
"Keyboard Concerto in G Major, BWV 973 [Arr. for Recorder & Chamber Ensemble]: I. Allegro assai ",G Major
"Symphony No. 35 in D Major, K. 385 ""Haffner"": III. Menuetto ",D Major
"Septet in E-Flat Major, Op. 65: II. Minuetto ",E-Flat Major
Coronation Polonaise in D Major ,D Major
"Trio Sonata No. 4 in E Minor, BWV 528 ",E Minor
"Keyboard Concerto in G Minor, Wq. 6 ",G Minor
"Keyboard Concerto in G Major, Wq. 3 ",G Major
"7 Organ Sonatas: No. 5, Allegro brillante in C Major ",C Major
"Keboard Sonata in E Minor, Wq. 58 No. 4, H. 188: II. Andantino ",E Minor
"Divertimento No. 12 in D Major, Hob. II:22: IV. Menuetto ",D Major
"12 Minuets, K. 568: No. 6 in D Major ",D Major
"Keyboard Sonata in A Minor, Wq. 50 No. 3: I. Presto ",A Minor
"Piano Trio in F Minor, Op. 18: II. Chantant ",F Minor
Cello Sonata No. 1 in G Minor: III. Largo ,G Minor
"13 Préludes, Op. 32: No. 5 in G Major ",G Major
"Symphony No. 7 in E Major, WAB 107: III. Scherzo. Sehr schnell ",E Major
"Nannerl Notenbuch: No. 8, Menuet in F Major ",F Major
"Bassoon Concerto in C Major, GraunWV C:XIII:66 ",C Major
"19 Hungarian Rhapsodies, S. 244: No. 3 in B-Flat Major ",B-Flat Major
"String Quartet No. 14 in G major, K. 387 ""Spring"": III. Andante cantabile ",G major
"6 Polonaises mélancoliques, Op. 17: No. 3 in c minor ",c minor
"Sonata in D Major, No. 1 ",D Major
"Fantasy No. 3 in B Minor, TWV 40:4 ",B Minor
"Symphony No. 2 in F Minor, Op. 12, TrV 126: IV. Finale. Allegro assai, molto appassionato ",F Minor
"Nocturne in G Major, Op. 37 No. 2 ",G Major
"Prelude & Fugue No. 9 in E Major, BWV 854 ",E Major
"String Quartet in G minor, Op. 13, FS 4 ",G minor
"Flute Sonata in G Major, Wq. 85 ",G Major
Cello Sonata in G Major: IV. Presto ,G Major
"Piano Sonata in F# Minor, Op. 26 No. 2: III. Presto ",F# Minor
"Toccata & Fugue in F Major, BWV 540 ",F Major
"St. John Passion, BWV 245, Pt. 2: No. 27, O Mighty King, How Marvellous Thy Glory! ", 
"Toccata in C Minor, BWV 911: V. Fugue. Allegro ",C Minor
"Deutsche Suite No. 1 in B Minor, Op. 36: IV. Gavotte I ",B Minor
Sonata concertante in E-Flat Major: IV. Allegro scherzando ,E-Flat Major
"Keyboard Sonata in G Major, Hob. XVI:27 ",G Major
"Duo in E-Flat Major, Op. 15: I. Allegro ",E-Flat Major
"Clarinet Concerto No. 2 in E-Flat Major, Op. 74, J. 118: II. Romanza. Andante ",E-Flat Major
"Variations on an Original Theme in D Major, Op. 21 No. 1: Var. 9 ",D Major
"Fantasia in G Major, P. 73 ""Tremolo"" ",G Major
"Keyboard Sonata in E Minor, Wq. 59 No. 1: III. Andantino ",E Minor
"Piano Quartet No. 1 in F Major, Op. 15 ",F Major
"Symphony No. 9 in D Minor, WAB 109: I. Feierlich. Misterioso ",D Minor
"String Quartet in D Major, Op. 17 No. 6, Hob. III:30: II. Menuetto ",D Major
"Trio Sonata No. 6 in G Major, BWV 530: III. Allegro ",G Major
"String Quartet No. 11 in E Major, Op. 125 No. 2, D. 353: II. Andante ",E Major
"Cello Sonata No. 5 in D Major, Op. 102 No. 2: III. Allegro ",D Major
"Recorder Sonata in B-Flat Major, TWV 41:B3 ",B-Flat Major
Cello Sonata in G Minor RV 42: III. Sarabande. Largo ,G Minor
"Brandenburg Concerto No. 1 in F Major, BWV 1046: VI. Menuet da capo ",F Major
"Concerto for Recorder & Viola da gamba in A minor, TWV 52:A1: I. Grave ",A minor
"Keyboard Concerto in G Major, Wq. 3: III. Allegro ",G Major
"String Quartet in G Minor, Op. 42 No. 1 ",G Minor
Viola da gamba Sonata in D Minor: I. Allegro ,D Minor
"Concerto for 2 Lire organizzate in C major, Hob. VIIh:1: III. Finale. Allegro con brio ",C major
"String Quartet in B-Flat Major, Op. 2 No. 6, Hob. III:12: IV. Menuet ",B-Flat Major
"10 Hungarian Dances, WoO 1: No. 10 in E Major ",E Major
Sinfonia in C Major for Cello & Basso continuo: III. Variazioni ,C Major
"Piano Sonata No. 14 in c minor, K. 457: I. Allegro ",c minor
"Nocturnes, Op. 15: No. 3 in G Minor ",G Minor
"14 Préludes, Op. 33: No. 1 in C# Minor. Ruhig ",C# Minor
"5 Divertimentos in B-Flat Major, K. 439b No. 1: I. Allegro ",B-Flat Major
"Sonata for Keyboard 4 Hands in C major, K. 19d: II. Menuetto ",C major
"Études, Op. 29: No. 17 in C Major ",C Major
"Humoreske in B-Flat Major, Op. 20: Hastig. Nach und nach immer lebhafter und stärker ",B-Flat Major
"Piano Sonata in B Minor, Op. 91: II. Andante. Vivace ",B Minor
"24 Préludes & Fugues, Op. 87: No. 20 in C minor ",C minor
"Keyboard Concerto in G Minor, BWV 983: II. Adagio ",G Minor
"Polonaise in E-Flat Major, Wq. 116 No. 2, H. 172 ",E-Flat Major
"Solo for Flute and Bass in D minor, Op. 3 No. 5, I. Allegro moderato ",D minor
"String Quartet No. 13 in G Major, Op. 106, B. 192: II. Adagio, ma non troppo ",G Major
"Notturno in C Major, P. 108: III. Menuetto. Allegretto ",C Major
Organ Concerto in G Major ,G Major
"Prelude & Fugue in B Minor, BWV 544: Fugue ",B Minor
"Recorder Sonata in B flat Major, HWV 377: III. Allegro ",B flat Major
"Concerto for 2 Recorders in B-Flat Major, TWV 52:B1: I. Grave ",B-Flat Major
"Concerto symphonique No. 3 in E-Flat Major, Op. 45: I. Allegro ",E-Flat Major
"Keyboard Sonata in F Major, Kk. 468 ",F Major
"Keyboard Sonata in B flat Major, Wq. 48 No. 2 ""Prussian Sonata No. 2"": I. Vivace ",B flat Major
"Valse-scherzo in A Major, TH 146 ",A Major
Duo No. 4 for Harp and Piano in E-Flat Major: Var. I. Con espressione ,E-Flat Major
"Piano Concerto No. 1 in D Minor, BWV 1052: I. Allegro ",D Minor
"Keyboard Sonatina in G Major, Wq. 64 No. 2, H. 8: I. Allegretto ",G Major
"Violin Concerto No. 6 in E Minor, MS 75 ",E Minor
"Trumpet Concerto in E flat Major, Hob, VIIe:1: II. Andante cantabile ",E flat Major
Concert royaux No. 3 in A Major: V. Gavotte ,A Major
"Violin Concerto in D Minor, Op. 47: II. Adagio di molto ",D Minor
"Concerto for 5 Flutes in D Major, Op. 15 No. 3 ",D Major
"Aria variata in A Minor, BWV 989 ",A Minor
"Keyboard Sonata No. 38 in F Major, Op. 13 No. 3, Hob. XVI:23: III. Finale. Presto ",F Major
"Cello Sonata No. 2 in G minor, Op. 117: III. Allegro vivo ",G minor
"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": II. Introduzione. Adagio molto ",C Major
Flute Concerto No. 6 in D major: I. Allegro maestoso ,D major
"Keyboard Sonata in C major, Wq. 62 No. 7: II. Andantino ",C major
"String Quartet in D Minor, Op. 56 ""Voces intimae"": I. Andante ",D Minor
15 Préludes in B-Flat Major ,B-Flat Major
"Symphony No. 43 in F Major, K. 76: II. Andante ",F Major
"Pièces de clavecin avec une méthode, Suite in D Major, RCT 3: II. Les niais de Sologne ",D Major
"Keyboard Sonata in G Major, Wq. 58 No. 2, H. 273 ",G Major
"Piano Sonata in B Minor, S. 178: Andante sostenuto - Allegro moderato - Lento assai ",B Minor
"Violin Concerto in G Major, Hob. VIIa:4: III. Allegro ",G Major
"Organ Concerto in A Minor, BWV 593: I. Allegro ",A Minor
Bolero in D Minor ,D Minor
"Keyboard Sonata in E Minor, Wq. 65 No. 4: IV. Echo ",E Minor
24 Préludes: No. 12 in G# Minor ,G# Minor
"Mazurka in C# Minor, Op. 30 No. 4 ",C# Minor
"Divertimento No. 12 in D Major, Hob. II:22 ",D Major
Lute Suite in C Major: IV. Courante ,C Major
"Piano Sonata No. 15 in C Major, D. 840 ""Reliquie"": IV. Rondó. Allegro ",C Major
"Concerto for 2 Violins in D Minor, BWV 1043 ",D Minor
"Symphony No. 2 in B-Flat Major, D. 125: II. Andante ",B-Flat Major
Prelude No. 17 in A# Major ,A# Major
"Violin Concerto in B Minor, Op. 27: I. Allegro con fuoco ",B Minor
"40 Easy Études, Op. 70: No. 27, Du milieu de l'archet in A Major ",A Major
"String Quartet in E Major, Op. 2 No. 2, Hob. III:8: I. Allegro molto ",E Major
"Quartet No. 6 in E Major, TWV 43:E1 ",E Major
Clarinet Concerto in B-Flat Major: II. Adagio ,B-Flat Major
"Sonata No. 5 for Violin & Harpsichord in F minor, BWV 1018 ",F minor
"Humoreske in B♭ major, Op. 20: Sehr rasch und leicht ",B♭ major
"Piano Concerto No. 2 in E-Flat Major, Op. 32, J. 155: III. Rondo. Presto ",E-Flat Major
"9 Fantasia a 4: Fantasia a 4 in B-Flat Major, Z. 736 ",B-Flat Major
"Symphony No. 4 in A Minor, Op. 63: IV. Allegro ",A Minor
"Serenade No. 1 in D major, Op. 11: II. Scherzo. Allegro non troppo ",D major
"Piano Trio in F Minor, H. 214 ",F Minor
"Pièces de clavecin, Book 2, 7th Ordre in G Major-Minor: IIb. L'Enfantine ",G Major
Canon Sonata a 3 in A Major: I. Allegro ,A Major
"The Well-Tempered Clavier, Book 1: Prelude & Fugue No. 17 in A-Flat Major, BWV 862 ",A-Flat Major
Wind Quintet No. 1 in B-Flat Major: II. Larghetto cantabile ,B-Flat Major
"Concert Overture No. 1 in D Minor, WWV 20 ",D Minor
"Theme & Variations in F# Minor, Op. 72: Var. 6, Largo ",F# Minor
"Keyboard Partita No. 5 in G Major, BWV 829: I. Praeambulum ",G Major
"Keyboard Sonata in A Minor, Wq. 57/2, H. 247: II. Andante ",A Minor
"33 Variations in C Major on a Waltz by Diabelli, Op. 120: Var. 5, Allegro vivace ",C Major
"Trio Sonata in D major: I. Grave, vivace e presto ",D major
"6 Variations on an Original Theme in F Major, Op. 34: Var. 6, Allegretto - Coda. Adagio molto ",F Major
Cello Sonata in A major: I. Larghetto ,A major
"Serenade in D major, Op. 8 ",D major
"Prelude in F major, BuxWV 145: Prelude ",F major
"Scherzo No. 3 in C# Minor, Op. 39 ",C# Minor
"Nocturnes, Op. 9: No. 2, Andante in E-Flat Major ",E-Flat Major
"Mazurka in C Major, Op. 33 No. 3 ",C Major
"The Bad-Tempered Electronic Keyboard: Prelude No. 23 in B-Flat Minor ""Fantasia on B.A.C.H."" ",B-Flat Minor
"Piano Concerto No. 3 in C minor, Op. 37: I. Allegro con brio ",C minor
"Piano Trio No. 2 in E Minor, Op. 67: I. Andante ",E Minor
"Concerto for 2 Horns in D Major, TWV 52:D2: I. Spirituoso, ma non presto ",D Major
"Septet in E♭ major, Op. 62 ",E♭ major
"Piano Sonatina in C Major, Op. 13 No. 1: I. Allegro assai ",C Major
"Keyboard Sonata in C Minor, Wq. 65 No. 31: II. Andantino ",C Minor
Horn Sonata in E Major: I. Allegro moderato ,E Major
"Cello Sonata No. 2 in G Minor, Op. 28: I. Agitato ",G Minor
"Keyboard Sonata in F Minor, Op. 13 No. 6: III. Presto ",F Minor
"Piano Concerto No. 25 in C major, K. 503: II. Andante ",C major
"Piano Sonata No. 2 in E Minor, Op. 75: III. Finale. Allegro moderato ",E Minor
Organ Sonata No. 6 in C Major: I. Adagio ,C Major
Guitar Sonatina in C Major: I. Allegro ,C Major
"Concerto for 2 Keyboards in C Major, BWV 1061: II. Adagio ",C Major
"Violin Sonata in E Minor, BWV 1023: I. — ",E Minor
Viola Concerto No. 1 in G Major: I. Allegro ,G Major
Stabat Mater in F Minor: Amen - Alla capella ,F Minor
"Concerto for 2 Cellos in D Major, Op. 69: III. Adagio ",D Major
"Sonata No. 3 in D Minor, Op. 10, J. 101: III. Rondo ",D Minor
"Cello Sonata in C Major, G. 6: I. Allegro ",C Major
"Cello Concerto No. 2 in D minor, Op. 119: III. Allegro non troppo ",D minor
Concert royaux No. 4 in E Minor: VI. Rigaudon ,E Minor
"Piano Sonata in B minor, S. 178: Ia. Allegro energico - Andante sostenuto - Lento assai ",B minor
Praeludium et fantasia in c minor ,c minor
"Pièces de viole, Book 4, Suite No. 4 in A Minor: No. 28, Musette - No. 29, Musette ",A Minor
"Suite No. 1 in F Major, HWV 348: X. Allegro deciso ",F Major
"Chamber Concerto in C Major, RV 560: III. Allegro ",C Major
"Keyboard Partita No. 6 in E minor, BWV 830: III. Courante ",E minor
"Piano Trio in G Minor, Op. 15 ",G Minor
"Keyboard Concerto in D minor, BWV 987: II. Allegro ",D minor
"Viola da gamba Sonata in C Major, Wq. 136, H. 558 ",C Major
"Symphony No. 6 in F Major, S. 464/6 ""Pastoral"": II. Scene by the Brook. Andante molto mosso ",F Major
"Piano Concerto No. 1 in E♭ major, S. 124: II. Allegretto vivace ",E♭ major
"Concerto grosso in D Minor, Op. 3 No. 11, RV 565: I. Allegro - II. Allegro ",D Minor
"Keyboard Concerto in D Major, BWV 972: I. ",D Major
"Duo for Violin & Viola in G Major, Op. 28 No. 1, K. 423: II. Adagio ",G Major
"19 Hungarian Rhapsodies, S. 244: No. 12 in C-Sharp minor ",C-Sharp minor
"Piano Sonata No. 1 in F Minor, Op. 2 No. 1: III. Minuet. Allegretto ",F Minor
"24 Études: No. 22 in B Minor, Op. 25 No. 10 ""Octave"" ",B Minor
"Symphony No. 2 in C Major, Op. 61: IV. Allegro molto vivace ",C Major
"Violin Sonata No. 27 in G major, Op. 2 No. 5, K. 379: I. Adagio ",G major
"Sinfonia No. 5 in B flat Major, MWV N5: I. Allegro vivace ",B flat Major
"Suite for 2 Flutes No. 7 in B Minor, Op. 2 No. 1: IV. Rondeau. Légèrement et affectueusement ",B Minor
"Cello Sonata No. 2 in D major, Op. 58, MWV Q 32: II. Allegretto scherzando ",D major
"Études-tableaux, Op. 33: No. 3 in C Minor. Grave ",C Minor
"Keyboard Sonata in E Major, Hob. XVI:31: I. Moderato ",E Major
"18 Dances of Different Genres: No. 12, Anglaise in E-Flat Major ",E-Flat Major
"Keyboard Sonata in D Major, Kk. 484 ",D Major
"Cello Suite No. 4 in E-Flat Major, BWV 1010: IV. Sarabande ",E-Flat Major
"Keyboard Sonata in G major, Wq. 56 No. 2: II. Larghetto ",G major
"Morning & Evening Service in B-Flat Major, Z. 230: Jubilate ",B-Flat Major
"24 Études, Op. 125: No. 24 in F Minor ",F Minor
"Trio in B♭ major, Op. 11 ""Gassenhauer"" ",B♭ major
"Piano Sonata No. 28 in A Major, Op. 101 ",A Major
"Prelude in A-Flat Major, B. 86 ",A-Flat Major
"Pièces de clavecin, Book 2, 8th Ordre in B Minor: VII. Rondeau ",B Minor
"Piano Sonata in B Minor, Op. 91: I. Allegro non troppo ",B Minor
"Concert Overture No. 2 in C Major, WWV 27 ",C Major
"Nocturnes, Op. 62: No. 2 in E Major ",E Major
"Mazurka in G Minor, Op. 67 No. 2 ",G Minor
Pardessus de viole Sonata in G Major: I. Adagio ,G Major
"Symphony No. 26 in E-Flat Major, K. 184: II. Andante ",E-Flat Major
"Prelude & Fugue in c minor, BWV 546: Fugue ",c minor
Cello Sonata No. 2 in A Major: Grave ,A Major
"Keyboard Sonata in E Minor, Wq. 65 No. 39: III. Allegretto ",E Minor
Concert royaux No. 2 in D Major: II. Allemande - Fugue ,D Major
"Symphony in E Minor, Op. 32 ""Gaelic"" ",E Minor
Recorder Concerto No. 13 in G Minor: II. Fuga ,G Minor
"Serenade in D Major, Op. 41: IV. Andante con variazioni ",D Major
"Keyboard Concerto in A Major, BWV 1055: II. Larghetto ",A Major
"String Quartet No. 11 in F Minor, Op. 122: III. Recitative. Adagio ",F Minor
"3 Écossaises, Op. 72 No. 3: No. 3 in D♭ major ",D♭ major
Organ Sonata No. 1 in F Major: I. Allegro ,F Major
"Cello Concerto in C Major, Op. 20: I. Allegro moderato ",C Major
"String Quartet No. 5 in B-Flat Major, K. Anh C20.05 ",B-Flat Major
"24 Préludes, Op. 28: No. 3 in G Major ",G Major
"Flute Sonata in G Major, Wq. 123: III. Tempo di minuetto ",G Major
"Prelude & Fugue No. 15 in G Major, BWV 860 ",G Major
"Keyboard Sonata in C major, Kk. 513 ",C major
"Keyboard Sonata in C Major, Kk. 420 ",C Major
"Flute Sonata in G Minor, Op. 91 No. 2: II. Gracieusement ",G Minor
"Sonata à 3 No. 7 in E Minor, Z. 796: I. Grave - Canzona ",E Minor
"Concert Studies: No. 13, La chasse in B flat Minor ",B flat Minor
"Ouvertüre in F Major, TWV 32:7: I. Ouvertüre ",F Major
"Manon Lescaut, S. 64: In quelle trine morbide ", 
Violin Sonata in E flat Major ,E flat Major
"Missa in onore della Madonna di Loreto, Op. 11: Gloria ", 
"Chamber Concerto in D Major, RV 93: I. Allegro moderato ",D Major
"24 Studies, Op. 35 ""Exercises"": No. 24 in E Minor ",E Minor
"Cello Sonata in A Major, FWV 8 ",A Major
"Organ Concerto in G Minor, Op. 4 No. 3, HWV 291: III. Adagio ",G Minor
"6 Transformations: No. 4, Sur quatre notes ", 
"Serenade No. 10 in B-Flat Major, K. 361 ""Gran partita"" ",B-Flat Major
"Symphony No. 21 in F sharp Minor, Op. 51 ",F sharp Minor
"Keyboard Sonata in A-Flat Major, Wq. 49 No. 2 ""Wurttemberg No. 2"" ",A-Flat Major
"Symphony No. 8 in G Major, Op. 88, B. 163: II. Adagio ",G Major
"Piano Sonata in G Major, Op. 118 No. 1: III. Puppenwiegenlied ",G Major
Toccata VI in C major: II. Fugue ,C major
Piano Trio in F-Sharp minor ,F-Sharp minor
"Keyboard Suite No. 1 in B flat Major, HWV 434 ",B flat Major
"Concerto grosso in C Minor, Op. 6 No. 3: I. Largo ",C Minor
4 Préludes: No. 2 in E major ,E major
"Double Concerto in E Minor, Op. 88 ",E Minor
"Ludus tonalis: No. 4, Fugue No. 2 in G major. Gay ",G major
"String Quintet No. 2 in C Minor, K. 406: II. Andante ",C Minor
"2 Varied Themes & 12 Minuets, Op. 11: Minuet No. 6 in A Major ",A Major
"Piano Concerto No. 26 in D Major, K. 537 ""Coronation"" ",D Major
"Organ Symphony No. 5 in F minor, Op. 42 No. 1: I. Allegro vivace - Più lento ",F minor
"Symphony in G Minor, WoO 29 ""Zwickauer"": I. Allegro molto ",G Minor
"Concerto grosso in F Major, Op. 6 No. 9, HWV 327: VI. Gigue ",F Major
"Piano Sonata in B minor, S. 178: Ib. Fortissimo ",B minor
Pièces in A Major ,A Major
"Flute Sonata in D Major, Op. 2 No. 5: II. Allegro ",D Major
"French Suite No. 5 in G Major, BWV 816: V. Bourrée ",G Major
"Piano Concerto in D Major, Op. 61a: I. Allegro, ma non troppo ",D Major
"Cello Sonata in E-Flat Major, RV 39: III. Andante ",E-Flat Major
"Piano Quintet No. 2 in C Minor, Op. 115 ",C Minor
"Concerto for 2 Violins in D Major, RV 511: I. Allegro molto ",D Major
"Waltz in A-Flat Major, Op. 42 ",A-Flat Major
"Symphony No. 9 in D Minor, Op. 125 ""Choral"" ",D Minor
"Prelude No. 21 in B-Flat Major, BWV 866 ",B-Flat Major
"Piano Sonata No. 2 in G Minor, Op. 50 ""Eroica"" ",G Minor
"Piano Sonata No. 14 in A Minor, Op. 143, D. 784: I. Allegro giusto ",A Minor
"Piano Concerto No. 1 in B Minor, Op. 2: Ia. Mässig - ",B Minor
"Nocturne No. 9 in E♭ major, H. 30 ",E♭ major
"Symphony No. 9 in E Minor, Op. 95, B. 178 ""From the New World"": III. Molto vivace ",E Minor
"12 Études de salon, Op. 5: No. 6 in A♭ major ""Danklied nach Sturm"" ",A♭ major
"Symphony No. 42 in F Major, K. 75: II. Menuetto ",F Major
"Fantasia in C Major, Op. 12: I. Andante ",C Major
"Fantasy in C Major, Op. 159, D. 934 ",C Major
"Violin Concerto in D Minor, Op. 47: I. Allegro moderato ",D Minor
"Piano Concerto No. 7 in F Major, K. 242 ""London"" ",F Major
"6 Préludes & Fugues for Organ, S. 462/R. 119, Prelude & Fugue No. 4 in C Major: Prelude ",C Major
"Piano Sonata No. 25 in G Major, Op. 79: II. Andante ",G Major
"Sonata for Piano 4 Hands in F Major, K. 497: II. Andante ",F Major
"String Quartet in A Major, Op. 55 No. 1, Hob. III:60: I. Allegro ",A Major
"Suite in A-Flat Major, Op. 59 ",A-Flat Major
"Piano Concerto in D Major, Op. 61a ",D Major
"String Quintet No. 26 in C Minor, Op. 67: II. Scherzo ",C Minor
"Serenade No. 6 in D Major, K. 239 ""Serenata notturna"": II. Menuetto ",D Major
"Keyboard Sonata in C Major, Wq. 62 No. 20: II. Arioso ",C Major
"Étude in C Major, Op. 10 No. 1 ""Waterfall"" ",C Major
"String Quartet No. 23 in F Major, K. 590 ""Prussian No. 3"": III. Minuetto. Allegretto ",F Major
